"contrast","Cluster","Sex","estimate","SE","df","z.ratio","p.value","Significant"
"2xLPS - LPS","Ameboid","F",-0.28927311411377,0.242050480118683,Inf,-1.19509415545027,0.232050245230856,"ns"
"2xLPS - PBS","Ameboid","F",-0.610901591927372,0.207844652860858,Inf,-2.9392220753273,0.00329037221100939,"significant"
"LPS - PBS","Ameboid","F",-0.321628477813602,0.195065900267064,Inf,-1.6488195905756,0.099184600237987,"ns"
"2xLPS - LPS","Hypertrophic","F",-0.433157440560711,0.234839663141462,Inf,-1.8444816125451,0.065112983112863,"ns"
"2xLPS - PBS","Hypertrophic","F",0.506218570917751,0.230225751176839,Inf,2.19879213480737,0.0278927060204179,"significant"
"LPS - PBS","Hypertrophic","F",0.939376011478462,0.214931051520489,Inf,4.37059235895894,1.23909928979692e-05,"significant"
"2xLPS - LPS","Ramified","F",0.576968697352704,0.193452679598448,Inf,2.98247973897453,0.0028592357285949,"significant"
"2xLPS - PBS","Ramified","F",0.357480794337654,0.164641345596234,Inf,2.17126987782485,0.0299107778919758,"significant"
"LPS - PBS","Ramified","F",-0.21948790301505,0.169918093187745,Inf,-1.29172767241765,0.196451470721823,"ns"
"2xLPS - LPS","Rod-Like","F",-0.154824461510689,0.236419468323955,Inf,-0.65487187924194,0.512550246886379,"ns"
"2xLPS - PBS","Rod-Like","F",-0.134027618497536,0.206678433365906,Inf,-0.648483812823626,0.516672077091601,"ns"
"LPS - PBS","Rod-Like","F",0.0207968430131524,0.200422522295416,Inf,0.103764999935978,0.917355842492545,"ns"
"2xLPS - LPS","Ameboid","M",-0.07273939076906,0.303421076544413,Inf,-0.239730844005534,0.810538922012473,"ns"
"2xLPS - PBS","Ameboid","M",-0.563909459750932,0.278381564847582,Inf,-2.02567098888061,0.0427985115353019,"significant"
"LPS - PBS","Ameboid","M",-0.491170068981872,0.212009850538001,Inf,-2.31673230152027,0.0205183188373316,"significant"
"2xLPS - LPS","Hypertrophic","M",-1.04006179980316,0.306852781196114,Inf,-3.38944882868258,0.000700332784934246,"significant"
"2xLPS - PBS","Hypertrophic","M",0.0639224480714753,0.314719355945947,Inf,0.203109363513231,0.839049553243415,"ns"
"LPS - PBS","Hypertrophic","M",1.10398424787464,0.21523246452344,Inf,5.12926453878154,2.908763458738e-07,"significant"
"2xLPS - LPS","Ramified","M",0.84315481053721,0.236557545543144,Inf,3.56426935611501,0.000364871123852204,"significant"
"2xLPS - PBS","Ramified","M",0.567361946112207,0.219618920576245,Inf,2.5833928362071,0.00978338553115394,"significant"
"LPS - PBS","Ramified","M",-0.275792864425003,0.180730618721022,Inf,-1.52598860324116,0.127012702803583,"ns"
"2xLPS - LPS","Rod-Like","M",-0.107869259168417,0.301592249066877,Inf,-0.357665886647165,0.720593365011922,"ns"
"2xLPS - PBS","Rod-Like","M",-0.258184178910443,0.282261882127822,Inf,-0.914697290913423,0.360350566961882,"ns"
"LPS - PBS","Rod-Like","M",-0.150314919742026,0.216028943516706,Inf,-0.695809169341243,0.486548346134012,"ns"
