"contrast","Cluster","Sex","estimate","SE","df","z.ratio","p.value","Significant"
"2xLPS - LPS","1","F",-0.314717164880255,0.238225006366604,Inf,-1.32109206199763,0.186470669532045,"ns"
"2xLPS - PBS","1","F",0.606763683501121,0.227314685856739,Inf,2.6692674132085,0.00760169013443957,"significant"
"LPS - PBS","1","F",0.921480848381376,0.218962758650479,Inf,4.20839075128889,2.57195825906799e-05,"significant"
"2xLPS - LPS","2","F",-0.24136442638291,0.324361387360646,Inf,-0.744121944806412,0.456802704243871,"ns"
"2xLPS - PBS","2","F",-0.912927246505582,0.270350179802714,Inf,-3.37683240000722,0.00073325714537111,"significant"
"LPS - PBS","2","F",-0.671562820122672,0.253028193378908,Inf,-2.65410273517233,0.00795196123238989,"significant"
"2xLPS - LPS","3","F",0.185754212258758,0.276181607306615,Inf,0.672579952265013,0.501214559436854,"ns"
"2xLPS - PBS","3","F",-0.0322040221463143,0.231597213975298,Inf,-0.139051854698689,0.889409172901907,"ns"
"LPS - PBS","3","F",-0.217958234405072,0.240736392975128,Inf,-0.905381324823583,0.365263405886413,"ns"
"2xLPS - LPS","4","F",-0.202336177147109,0.241288696709229,Inf,-0.838564673383519,0.401713641451481,"ns"
"2xLPS - PBS","4","F",0.437007734670106,0.223156173849033,Inf,1.95830447857447,0.0501942956038143,"ns"
"LPS - PBS","4","F",0.639343911817215,0.217210356962173,Inf,2.94343198344155,0.00324595140108439,"significant"
"2xLPS - LPS","5","F",0.836185125310233,0.310071720255976,Inf,2.6967474641671,0.00700203494278791,"significant"
"2xLPS - PBS","5","F",-0.0170084297396597,0.22855527783248,Inf,-0.0744171383875284,0.940678472152924,"ns"
"LPS - PBS","5","F",-0.853193555049892,0.280195171154575,Inf,-3.04499735500157,0.00232682356230258,"significant"
"2xLPS - LPS","1","M",-0.529896531916281,0.289936224690157,Inf,-1.82763134369484,0.0676048984207877,"ns"
"2xLPS - PBS","1","M",0.377986330056951,0.289322812853422,Inf,1.30645187059082,0.191398936132141,"ns"
"LPS - PBS","1","M",0.907882861973232,0.220927429731839,Inf,4.10941666716178,3.96659818211524e-05,"significant"
"2xLPS - LPS","2","M",-0.219124891442394,0.435544367146074,Inf,-0.503105786623349,0.614889898515529,"ns"
"2xLPS - PBS","2","M",-0.991346631456502,0.394888588128031,Inf,-2.51044639237609,0.0120578628470485,"significant"
"LPS - PBS","2","M",-0.772221740014108,0.281579477042848,Inf,-2.74246457207746,0.00609800276308096,"significant"
"2xLPS - LPS","3","M",-0.0208815356768092,0.376658827473218,Inf,-0.0554388591311961,0.955788838314998,"ns"
"2xLPS - PBS","3","M",-0.279558595801337,0.348394390614367,Inf,-0.802419910689024,0.42231009942727,"ns"
"LPS - PBS","3","M",-0.258677060124528,0.27052565675535,Inf,-0.956201578907773,0.338970402406734,"ns"
"2xLPS - LPS","4","M",-0.22732162461131,0.28974188463291,Inf,-0.784565976366572,0.432708085043152,"ns"
"2xLPS - PBS","4","M",0.332691903420563,0.283345158533338,Inf,1.17415771330859,0.240331860209153,"ns"
"LPS - PBS","4","M",0.560013528031873,0.221380638669489,Inf,2.52964094510517,0.0114179304489497,"significant"
"2xLPS - LPS","5","M",1.58608623934027,0.383717291892992,Inf,4.13347605867757,3.57317532616886e-05,"significant"
"2xLPS - PBS","5","M",0.27818844858407,0.288372182189196,Inf,0.964685450837125,0.334702384695557,"ns"
"LPS - PBS","5","M",-1.3078977907562,0.332135061036941,Inf,-3.93784921914864,8.22152278278125e-05,"significant"
